GrLivArea,TotalBsmtSF,YearBuilt
1828,1822,2007
894,894,1962
964,876,1921
1689,1568,2002
1541,1541,2001
1221,1221,2004
1324,1088,1965
1416,696,1999
988,462,1973
1218,735,1941
1656,746,2003
1362,1362,2005
1839,756,1966
1375,1367,1954
1122,924,1948
1432,1360,1978
1456,728,2007
1217,1188,1990
1040,0,1950
1224,612,2009
1774,952,1931
1367,861,1900
1360,803,1938
848,848,2004
2262,1482,2003
1220,836,1951
1414,1375,2004
2058,735,1917
1198,901,1920
1659,1501,2000
1012,1012,1920
3082,824,1920
1812,360,1900
1929,1057,2001
954,911,1976
1838,1838,2006
1640,1296,1954
1148,1148,1959
950,950,1971
1911,777,1993
1635,1065,1923
1316,1316,2007
1442,1442,1970
1078,1078,1971
1120,1040,1961
1419,408,2002
1389,651,1946
1063,1056,1954
1792,1792,2003
1216,1216,1998
1762,596,1920
1959,847,2004
1208,1208,1977
1524,874,1958
1154,796,1922
1048,0,1950
886,190,1938
943,943,1979
1768,866,2005
2599,1393,1999
912,912,1958
882,0,1956
1337,1405,1998
2076,2076,2006
2531,1318,1995
1768,731,1937
1625,1573,2006
2144,1444,1958
2775,1237,1893
1868,585,1984
1525,1525,2000
1571,1571,2007
796,796,1910
2372,994,1892
1472,384,1991
960,648,1965
1838,732,2005
1309,1040,1974
2643,2153,2006
1131,676,1941
1960,960,1952
1144,1144,1963
1056,1056,1980
693,693,1941
1494,1479,1997
1646,1594,2004
864,864,1972
1566,1566,2008
1395,723,1972
1208,780,1925
1513,939,1920
1367,884,1931
955,955,1966
1077,1007,1922
1056,1056,1955
1553,756,2005
1614,1614,2005
2042,2042,2008
1073,1073,1921
1285,672,1948
2117,1205,1970
605,528,1920
1150,1150,1959
1456,728,2005
999,944,1961
1500,750,2005
1336,1165,1953
1593,839,2004
2184,1104,2008
1560,1560,2003
1644,728,1942
630,630,1970
1113,1143,1976
2172,1063,2006
1346,560,1910
2610,1184,2007
1958,1026,2005
1468,1468,2008
1734,0,1977
1200,768,1946
1550,1092,2006
2230,795,1912
1639,1064,1936
864,864,1958
1621,1208,1984
987,483,1972
2519,1210,1989
1365,765,1970
2290,1128,2002
2596,1249,2006
907,907,1957
1456,855,1976
1190,1106,1962
858,858,1971
2223,2223,1973
1005,1005,1955
1895,712,1994
1040,1040,1965
1264,1268,1960
1761,874,2007
1034,1012,1976
1363,1385,1954
1689,1436,1956
2113,2109,1995
1573,1573,2002
2364,2330,2009
2034,1057,1997
1291,1291,1996
858,858,1958
1258,560,1939
438,290,1920
1400,672,1978
954,920,1938
1445,1127,1964
1072,547,2005
1664,0,1965
2134,844,1916
3194,965,1934
1824,912,1971
1756,872,1996
912,912,1965
1509,1461,1988
1608,976,1925
1316,1316,2005
1015,768,1925
1134,756,1940
1636,1623,2006
1320,660,2003
2126,1013,1967
1128,1120,1963
1306,992,1957
1344,546,1970
2554,718,1890
893,845,1949
1933,894,2007
1218,672,1973
1969,808,1977
2090,1220,1995
1484,1484,1971
1656,1656,1973
1224,818,1926
2054,992,2000
854,832,1929
1092,546,1973
1268,1268,1977
1661,799,1996
1668,1657,2003
1493,1478,1997
932,932,1950
1277,1277,1970
1530,1530,2004
